numero_contrato,objeto,fornecedor_nome,orgao_nome,valor_global,prazo_vigencia_dias,score_anomalia,percentil_risco,nivel_risco,data_assinatura,detectado_em
33/2025,CONTRATAÇÃO DE SERVIÇO DE MÃO DE OBRA TERCEIRIZADA PARA A FUNECE - CAPITAL E INTERIOR,EUROSERV BUSINESS & NEGOCIOS TERCEIRIZADOS LTDA,31200001,8346632364.0,1826,-0.796925,100,ALTO,2025-05-20,2026-04-01 03:30:38.886382
005/2025,"Tem por objeto a contratação conjunta dos serviços de fornecimento de energia elétrica para todas as Unidades Consumidoras (Ucs) do Grupo A - alta tensão, grupamento composto de Ucs com fornecimento em tensão igual ou superior a 2,3 KV junto à Companhia Energética do Ceará - ENEL",COMPANHIA ENERGETICA DO CEARA - ENEL,42000000,1587487781.0,1826,-0.775283,99,ALTO,2025-05-15,2026-04-01 03:30:38.886382
180/2025,"CONSTRUÇÃO DO HRCS - HOSPITAL REGIONAL DO CENTRO SUL, NO MUNICÍPIO DE IGUATU - CE.",CONSORCIO SAUDE DO SERTAO,43200007,3125000000.0,1096,-0.773027,99,ALTO,2025-10-24,2026-04-01 03:30:38.886382
AEC 01/2025,"O presente acordo tem por objeto a cooperação entre as partes visando a cooperação técnica entre a OEI e Estado do Ceará, nos termos do Plano de Trabalho e aditivos que integram, para todos os fins legais, o presente acordo",ORGANIZACAO DOS ESTADOS IBERO - AMERICANOS,31000000,1128815865.0,1826,-0.768013,99,ALTO,2025-07-01,2026-04-01 03:30:38.886382
037/2025-ETICE-LINKS,CONTRATAÇÃO DE SERVIÇOS DE LINKS DE TRANSPORTES DE DADOS COM ACESSO À INTERNET PARA AS UNIDADES DA POLÍCIA CIVIL PELO PRAZO DE 60 MESES.,EMPRESA DE TECNOLOGIA DA INFORMACAO DO CEARA ETICE,10100002,837776442.0,1825,-0.764589,99,ALTO,2025-04-01,2026-04-01 03:30:38.886382
416/2025,"Contratação de empresa especializada na prestação de serviços de mão de obra terceirizada, em substituição aos contratos 394/2024, 518/2024 e 520/2024, cujos empregados sejam regidos pela CONSOLIDAÇÃO DAS LEIS TRABALHISTAS (CLT), para atender toda a REDE SESA.",MISSAO SERVICOS TECNICOS EIRELI ,24200004,7960099695.0,729,-0.759034,99,ALTO,2025-04-25,2026-04-01 03:30:38.886382
015/SCIDADES/2025,"Constitui objeto deste Contrato a execução de serviços para implantação de Sistemas Simplificados de Abastecimento de Água nos municípios de Acopiara, Assaré, Crato, Irauçuba, Massapê, Morada Nova, Tejuçuoca, Campos Sales, Barroquinha e Salitre, conforme as condições estabelecidas neste contrato, no Projeto Básico do edital e seus ANEXOS, com base na planilha orçamentária individualizada e em obediência aos anteprojetos, às especificações da Cagece e as Normas da ABNT, e na proposta do CONTRATADO.",CONSORCIO SSAA EM AREAS RURAIS,43000000,5370723758.0,730,-0.75852,99,ALTO,2025-12-04,2026-04-01 03:30:38.886382
CG Nº 053/2025,"CG Nº 053/2025 - UGP/PSJ III - 2ª Fase - O presente CONTRATO tem por objeto o apoio técnico e gerencial para implementação das ações de desenvolvimento rural sustentável e de fortalecimento da agricultura familiar do Estado do Ceará, conforme previstas no Acordo de Empréstimo nº 8986 ¿ BR e atividades detalhadas no Manual Operacional do Projeto de Desenvolvimento Rural Sustentável ¿ PDRS ¿ São José III ¿ 2ª Fase. O suporte técnico operacional parte do escopo do contrato será desenvolvido no âmbito dos seguintes projetos/ações de interesse estratégico do Governo do Estado do Ceará, através da SDA.",INSTITUTO AGROPOLOS DO CEARA,21000000,4966130886.0,729,-0.757751,99,ALTO,2025-04-01,2026-04-01 03:30:38.886382
172/2025,CONSTRUÇÃO DO HOSPITAL REGIONAL DO MACIÇO DE BATURITÉ - HRMB.,CONSORCIO HOSPITAL BATURITE,43200007,2557603390.0,913,-0.756726,99,ALTO,2025-10-03,2026-04-01 03:30:38.886382
013/SCIDADES/2025,"CLÁUSULA TERCEIRA ¿ DO OBJETO
3.1. O objeto do presente instrumento é a contratação de empresa para prestação de serviços contínuos a serem executados com dedicação exclusiva de mão de obra
terceirizada, regidos pela Consolidação da Leis Trabalhistas (CLT) para as categorias, condições e quantidades estabelecidas no edital e seus anexos.",LAR ANTONIO DE PADUA,43000000,345501024.0,1826,-0.75568,98,ALTO,2025-10-01,2026-04-01 03:30:38.886382
